sample,filtering,PON,bootstrap,calls
T103,All,05, 1, 95863
T103,All,05, 2, 95531
T103,All,05, 3, 96218
T103,All,05, 4, 96626
T103,All,05, 5, 95676
T103,All,10, 1, 84041
T103,All,10, 2, 84925
T103,All,10, 3, 83315
T103,All,10, 4, 83798
T103,All,10, 5, 84019
T103,All,15, 1, 77515
T103,All,15, 2, 77336
T103,All,15, 3, 79689
T103,All,15, 4, 79168
T103,All,15, 5, 77639
T103,All,20, 1, 74697
T103,All,20, 2, 74054
T103,All,20, 3, 74139
T103,All,20, 4, 75049
T103,All,20, 5, 74288
T103,All,25, 1, 71931
T103,All,25, 2, 71946
T103,All,25, 3, 71332
T103,All,25, 4, 70869
T103,All,25, 5, 71243
T103,All,30, 1, 68929
T103,All,30, 2, 68446
T103,All,30, 3, 68849
T103,All,30, 4, 69033
T103,All,30, 5, 68268
T103,All,35, 1, 65284
T103,All,35, 2, 66550
T103,All,35, 3, 64898
T103,All,35, 4, 66041
T103,All,35, 5, 66987
T103,All,40, 1, 64260
T103,All,40, 2, 63967
T103,All,40, 3, 64606
T103,All,40, 4, 63968
T103,All,40, 5, 64808
T103,All,45, 1, 62852
T103,All,45, 2, 62738
T103,All,45, 3, 62785
T103,All,45, 4, 62561
T103,All,45, 5, 62489
T103,All,50, 1, 62073
T103,All,50, 2, 61870
T103,All,50, 3, 61922
T103,All,50, 4, 62875
T103,All,50, 5, 62294
T103,All,55, 1, 60464
T103,All,55, 2, 60711
T103,All,55, 3, 60254
T103,All,55, 4, 61181
T103,All,55, 5, 61184
T103,All,60, 1, 59615
T103,All,60, 2, 59662
T103,All,60, 3, 59682
T103,All,60, 4, 59677
T103,All,60, 5, 59671
T103,All,65, 1, 59063
T103,All,65, 2, 59236
T103,All,65, 3, 58548
T103,All,65, 4, 58945
T103,All,65, 5, 58959
T103,filtered,05, 1, 26318
T103,filtered,05, 2, 26958
T103,filtered,05, 3, 26997
T103,filtered,05, 4, 26259
T103,filtered,05, 5, 26467
T103,filtered,10, 1, 33773
T103,filtered,10, 2, 34823
T103,filtered,10, 3, 35406
T103,filtered,10, 4, 34788
T103,filtered,10, 5, 34328
T103,filtered,15, 1, 37086
T103,filtered,15, 2, 37267
T103,filtered,15, 3, 37084
T103,filtered,15, 4, 37269
T103,filtered,15, 5, 37166
T103,filtered,20, 1, 37639
T103,filtered,20, 2, 37590
T103,filtered,20, 3, 38085
T103,filtered,20, 4, 38188
T103,filtered,20, 5, 37738
T103,filtered,25, 1, 38548
T103,filtered,25, 2, 37965
T103,filtered,25, 3, 38138
T103,filtered,25, 4, 38564
T103,filtered,25, 5, 37536
T103,filtered,30, 1, 38553
T103,filtered,30, 2, 38290
T103,filtered,30, 3, 38427
T103,filtered,30, 4, 38463
T103,filtered,30, 5, 39062
T103,filtered,35, 1, 38388
T103,filtered,35, 2, 38829
T103,filtered,35, 3, 38532
T103,filtered,35, 4, 38873
T103,filtered,35, 5, 38851
T103,filtered,40, 1, 38679
T103,filtered,40, 2, 38670
T103,filtered,40, 3, 38485
T103,filtered,40, 4, 38798
T103,filtered,40, 5, 38240
T103,filtered,45, 1, 38389
T103,filtered,45, 2, 38496
T103,filtered,45, 3, 38286
T103,filtered,45, 4, 38156
T103,filtered,45, 5, 38267
T103,filtered,50, 1, 38256
T103,filtered,50, 2, 38126
T103,filtered,50, 3, 38093
T103,filtered,50, 4, 38465
T103,filtered,50, 5, 37981
T103,filtered,55, 1, 37923
T103,filtered,55, 2, 37921
T103,filtered,55, 3, 37831
T103,filtered,55, 4, 38322
T103,filtered,55, 5, 38250
T103,filtered,60, 1, 37823
T103,filtered,60, 2, 38055
T103,filtered,60, 3, 37984
T103,filtered,60, 4, 37994
T103,filtered,60, 5, 37904
T103,filtered,65, 1, 37641
T103,filtered,65, 2, 37467
T103,filtered,65, 3, 37495
T103,filtered,65, 4, 37680
T103,filtered,65, 5, 37553
T104,All,05, 1, 88862
T104,All,05, 2, 89180
T104,All,05, 3, 89297
T104,All,05, 4, 88880
T104,All,05, 5, 89043
T104,All,10, 1, 81196
T104,All,10, 2, 80001
T104,All,10, 3, 79886
T104,All,10, 4, 80951
T104,All,10, 5, 80523
T104,All,15, 1, 76845
T104,All,15, 2, 74939
T104,All,15, 3, 76996
T104,All,15, 4, 76565
T104,All,15, 5, 75827
T104,All,20, 1, 73534
T104,All,20, 2, 74548
T104,All,20, 3, 74046
T104,All,20, 4, 73285
T104,All,20, 5, 74034
T104,All,25, 1, 71965
T104,All,25, 2, 71010
T104,All,25, 3, 72003
T104,All,25, 4, 71486
T104,All,25, 5, 72704
T104,All,30, 1, 69755
T104,All,30, 2, 69922
T104,All,30, 3, 69844
T104,All,30, 4, 70324
T104,All,30, 5, 68083
T104,All,35, 1, 67486
T104,All,35, 2, 68085
T104,All,35, 3, 67041
T104,All,35, 4, 67229
T104,All,35, 5, 68045
T104,All,40, 1, 66846
T104,All,40, 2, 66401
T104,All,40, 3, 66829
T104,All,40, 4, 66016
T104,All,40, 5, 66710
T104,All,45, 1, 65831
T104,All,45, 2, 65411
T104,All,45, 3, 65460
T104,All,45, 4, 64995
T104,All,45, 5, 65730
T104,All,50, 1, 64219
T104,All,50, 2, 64525
T104,All,50, 3, 64703
T104,All,50, 4, 64575
T104,All,50, 5, 65621
T104,All,55, 1, 63404
T104,All,55, 2, 63985
T104,All,55, 3, 63477
T104,All,55, 4, 63506
T104,All,55, 5, 63320
T104,All,60, 1, 62810
T104,All,60, 2, 62727
T104,All,60, 3, 62662
T104,All,60, 4, 62757
T104,All,60, 5, 62765
T104,All,65, 1, 63109
T104,All,65, 2, 62497
T104,All,65, 3, 61945
T104,All,65, 4, 62100
T104,All,65, 5, 62169
T104,filtered,05, 1, 20975
T104,filtered,05, 2, 21358
T104,filtered,05, 3, 21292
T104,filtered,05, 4, 21521
T104,filtered,05, 5, 21541
T104,filtered,10, 1, 26685
T104,filtered,10, 2, 28387
T104,filtered,10, 3, 28445
T104,filtered,10, 4, 27358
T104,filtered,10, 5, 27307
T104,filtered,15, 1, 30171
T104,filtered,15, 2, 30717
T104,filtered,15, 3, 30118
T104,filtered,15, 4, 30339
T104,filtered,15, 5, 30257
T104,filtered,20, 1, 31578
T104,filtered,20, 2, 31105
T104,filtered,20, 3, 31592
T104,filtered,20, 4, 31967
T104,filtered,20, 5, 31382
T104,filtered,25, 1, 32170
T104,filtered,25, 2, 32184
T104,filtered,25, 3, 32629
T104,filtered,25, 4, 32671
T104,filtered,25, 5, 31767
T104,filtered,30, 1, 33270
T104,filtered,30, 2, 33008
T104,filtered,30, 3, 32644
T104,filtered,30, 4, 33162
T104,filtered,30, 5, 33461
T104,filtered,35, 1, 33737
T104,filtered,35, 2, 33768
T104,filtered,35, 3, 34184
T104,filtered,35, 4, 33736
T104,filtered,35, 5, 33396
T104,filtered,40, 1, 34259
T104,filtered,40, 2, 34293
T104,filtered,40, 3, 34176
T104,filtered,40, 4, 34245
T104,filtered,40, 5, 33585
T104,filtered,45, 1, 34003
T104,filtered,45, 2, 34350
T104,filtered,45, 3, 33977
T104,filtered,45, 4, 33833
T104,filtered,45, 5, 34088
T104,filtered,50, 1, 33959
T104,filtered,50, 2, 33968
T104,filtered,50, 3, 33964
T104,filtered,50, 4, 33806
T104,filtered,50, 5, 33752
T104,filtered,55, 1, 34146
T104,filtered,55, 2, 34490
T104,filtered,55, 3, 34325
T104,filtered,55, 4, 34190
T104,filtered,55, 5, 33962
T104,filtered,60, 1, 34308
T104,filtered,60, 2, 34318
T104,filtered,60, 3, 34130
T104,filtered,60, 4, 34269
T104,filtered,60, 5, 34132
T104,filtered,65, 1, 34305
T104,filtered,65, 2, 34118
T104,filtered,65, 3, 34153
T104,filtered,65, 4, 34193
T104,filtered,65, 5, 34134
T105,All,05, 1, 113218
T105,All,05, 2, 112494
T105,All,05, 3, 112663
T105,All,05, 4, 113185
T105,All,05, 5, 113050
T105,All,10, 1, 101971
T105,All,10, 2, 101774
T105,All,10, 3, 99897
T105,All,10, 4, 102062
T105,All,10, 5, 101464
T105,All,15, 1, 95035
T105,All,15, 2, 95255
T105,All,15, 3, 96195
T105,All,15, 4, 94936
T105,All,15, 5, 95261
T105,All,20, 1, 91623
T105,All,20, 2, 92664
T105,All,20, 3, 91237
T105,All,20, 4, 91190
T105,All,20, 5, 91688
T105,All,25, 1, 88792
T105,All,25, 2, 88719
T105,All,25, 3, 88597
T105,All,25, 4, 88083
T105,All,25, 5, 90241
T105,All,30, 1, 86170
T105,All,30, 2, 86782
T105,All,30, 3, 86188
T105,All,30, 4, 86153
T105,All,30, 5, 85297
T105,All,35, 1, 84210
T105,All,35, 2, 83825
T105,All,35, 3, 83346
T105,All,35, 4, 83848
T105,All,35, 5, 83466
T105,All,40, 1, 81915
T105,All,40, 2, 82567
T105,All,40, 3, 82240
T105,All,40, 4, 81686
T105,All,40, 5, 82165
T105,All,45, 1, 81080
T105,All,45, 2, 80147
T105,All,45, 3, 80625
T105,All,45, 4, 80263
T105,All,45, 5, 80353
T105,All,50, 1, 79494
T105,All,50, 2, 79410
T105,All,50, 3, 80183
T105,All,50, 4, 79540
T105,All,50, 5, 80053
T105,All,55, 1, 78268
T105,All,55, 2, 78316
T105,All,55, 3, 78243
T105,All,55, 4, 78170
T105,All,55, 5, 78427
T105,All,60, 1, 77514
T105,All,60, 2, 77137
T105,All,60, 3, 77135
T105,All,60, 4, 77151
T105,All,60, 5, 77517
T105,All,65, 1, 76951
T105,All,65, 2, 77337
T105,All,65, 3, 76224
T105,All,65, 4, 76680
T105,All,65, 5, 76657
T105,filtered,05, 1, 27428
T105,filtered,05, 2, 28417
T105,filtered,05, 3, 28055
T105,filtered,05, 4, 28554
T105,filtered,05, 5, 28123
T105,filtered,10, 1, 34734
T105,filtered,10, 2, 36529
T105,filtered,10, 3, 37073
T105,filtered,10, 4, 36040
T105,filtered,10, 5, 35430
T105,filtered,15, 1, 39024
T105,filtered,15, 2, 39598
T105,filtered,15, 3, 39548
T105,filtered,15, 4, 39597
T105,filtered,15, 5, 38941
T105,filtered,20, 1, 39872
T105,filtered,20, 2, 40576
T105,filtered,20, 3, 40561
T105,filtered,20, 4, 41080
T105,filtered,20, 5, 40304
T105,filtered,25, 1, 41434
T105,filtered,25, 2, 41027
T105,filtered,25, 3, 41073
T105,filtered,25, 4, 41941
T105,filtered,25, 5, 40495
T105,filtered,30, 1, 42328
T105,filtered,30, 2, 42046
T105,filtered,30, 3, 42056
T105,filtered,30, 4, 41785
T105,filtered,30, 5, 43272
T105,filtered,35, 1, 43133
T105,filtered,35, 2, 42897
T105,filtered,35, 3, 43728
T105,filtered,35, 4, 43020
T105,filtered,35, 5, 42292
T105,filtered,40, 1, 43552
T105,filtered,40, 2, 43914
T105,filtered,40, 3, 43195
T105,filtered,40, 4, 43623
T105,filtered,40, 5, 42479
T105,filtered,45, 1, 43465
T105,filtered,45, 2, 43312
T105,filtered,45, 3, 42920
T105,filtered,45, 4, 42733
T105,filtered,45, 5, 43273
T105,filtered,50, 1, 42834
T105,filtered,50, 2, 42596
T105,filtered,50, 3, 43114
T105,filtered,50, 4, 42552
T105,filtered,50, 5, 42573
T105,filtered,55, 1, 43114
T105,filtered,55, 2, 43145
T105,filtered,55, 3, 43281
T105,filtered,55, 4, 42951
T105,filtered,55, 5, 43199
T105,filtered,60, 1, 43238
T105,filtered,60, 2, 43203
T105,filtered,60, 3, 43074
T105,filtered,60, 4, 43057
T105,filtered,60, 5, 43235
T105,filtered,65, 1, 43066
T105,filtered,65, 2, 43110
T105,filtered,65, 3, 42936
T105,filtered,65, 4, 43144
T105,filtered,65, 5, 42857
T107,All,05, 1, 101353
T107,All,05, 2, 100923
T107,All,05, 3, 100317
T107,All,05, 4, 101156
T107,All,05, 5, 100586
T107,All,10, 1, 91527
T107,All,10, 2, 91389
T107,All,10, 3, 90458
T107,All,10, 4, 92173
T107,All,10, 5, 92116
T107,All,15, 1, 86339
T107,All,15, 2, 86478
T107,All,15, 3, 87674
T107,All,15, 4, 86774
T107,All,15, 5, 86134
T107,All,20, 1, 82731
T107,All,20, 2, 82847
T107,All,20, 3, 82729
T107,All,20, 4, 83192
T107,All,20, 5, 82952
T107,All,25, 1, 80775
T107,All,25, 2, 79793
T107,All,25, 3, 79176
T107,All,25, 4, 79416
T107,All,25, 5, 82005
T107,All,30, 1, 77860
