sample,filtering,PON,bootstrap,calls
T103,filtered,5,1,103
T103,filtered,5,2,122
T103,filtered,5,3,116
T103,filtered,5,4,114
T103,filtered,5,5,104
T103,filtered,10,1,172
T103,filtered,10,2,190
T103,filtered,10,3,188
T103,filtered,10,4,165
T103,filtered,10,5,172
T103,filtered,15,1,215
T103,filtered,15,2,220
T103,filtered,15,3,224
T103,filtered,15,4,229
T103,filtered,15,5,220
T103,filtered,20,1,231
T103,filtered,20,2,232
T103,filtered,20,3,243
T103,filtered,20,4,249
T103,filtered,20,5,245
T103,filtered,25,1,274
T103,filtered,25,2,259
T103,filtered,25,3,270
T103,filtered,25,4,259
T103,filtered,25,5,241
T103,filtered,30,1,285
T103,filtered,30,2,282
T103,filtered,30,3,278
T103,filtered,30,4,284
T103,filtered,30,5,306
T103,filtered,35,1,311
T103,filtered,35,2,314
T103,filtered,35,3,330
T103,filtered,35,4,315
T103,filtered,35,5,301
T103,filtered,40,1,325
T103,filtered,40,2,326
T103,filtered,40,3,336
T103,filtered,40,4,331
T103,filtered,40,5,307
T103,filtered,45,1,335
T103,filtered,45,2,339
T103,filtered,45,3,324
T103,filtered,45,4,331
T103,filtered,45,5,340
T103,filtered,50,1,332
T103,filtered,50,2,332
T103,filtered,50,3,334
T103,filtered,50,4,331
T103,filtered,50,5,324
T103,filtered,55,1,347
T103,filtered,55,2,352
T103,filtered,55,3,353
T103,filtered,55,4,343
T103,filtered,55,5,346
T103,filtered,60,1,362
T103,filtered,60,2,360
T103,filtered,60,3,361
T103,filtered,60,4,355
T103,filtered,60,5,359
T103,filtered,65,1,357
T103,filtered,65,2,358
T103,filtered,65,3,359
T103,filtered,65,4,359
T103,filtered,65,5,359
T103,All,5,1,1684
T103,All,5,2,1684
T103,All,5,3,1684
T103,All,5,4,1684
T103,All,5,5,1684
T103,All,10,1,1684
T103,All,10,2,1684
T103,All,10,3,1684
T103,All,10,4,1684
T103,All,10,5,1684
T103,All,15,1,1684
T103,All,15,2,1684
T103,All,15,3,1684
T103,All,15,4,1684
T103,All,15,5,1684
T103,All,20,1,1684
T103,All,20,2,1684
T103,All,20,3,1684
T103,All,20,4,1684
T103,All,20,5,1684
T103,All,25,1,1684
T103,All,25,2,1684
T103,All,25,3,1684
T103,All,25,4,1684
T103,All,25,5,1684
T103,All,30,1,1684
T103,All,30,2,1684
T103,All,30,3,1684
T103,All,30,4,1684
T103,All,30,5,1684
T103,All,35,1,1684
T103,All,35,2,1684
T103,All,35,3,1684
T103,All,35,4,1684
T103,All,35,5,1684
T103,All,40,1,1684
T103,All,40,2,1684
T103,All,40,3,1684
T103,All,40,4,1684
T103,All,40,5,1684
T103,All,45,1,1684
T103,All,45,2,1684
T103,All,45,3,1684
T103,All,45,4,1684
T103,All,45,5,1684
T103,All,50,1,1684
T103,All,50,2,1684
T103,All,50,3,1684
T103,All,50,4,1684
T103,All,50,5,1684
T103,All,55,1,1684
T103,All,55,2,1684
T103,All,55,3,1684
T103,All,55,4,1684
T103,All,55,5,1684
T103,All,60,1,1684
T103,All,60,2,1684
T103,All,60,3,1684
T103,All,60,4,1684
T103,All,60,5,1684
T103,All,65,1,1684
T103,All,65,2,1684
T103,All,65,3,1684
T103,All,65,4,1684
T103,All,65,5,1684
T104,All,5,1,3397
T104,All,5,2,3397
T104,All,5,3,3397
T104,All,5,4,3397
T104,All,5,5,3397
T104,All,10,1,3397
T104,All,10,2,3397
T104,All,10,3,3397
T104,All,10,4,3397
T104,All,10,5,3397
T104,All,15,1,3397
T104,All,15,2,3397
T104,All,15,3,3397
