Filter,SWAF,TAF,NAF
FP, 0.263, 0.083000, 0.074000
FP, 0.056, 0.083000, 0.074000
FP, 0.001, 0.033000, 0.074000
FP, 0.201, 0.400000, 0.000000
FP, 0.201, 0.173000, 0.071000
FP, 0.0035, 0.094000, 0.043000
FP, 0.0035, 0.136000, 0.108000
FP, 0.111, 0.088000, 0.073000
FP, 0.0055, 0.036000, 0.046000
FP, 0.0055, 0.036000, 0.047000
FP, 0.136, 0.286000, 0.097000
FP, 0.151, 0.089000, 0.071000
FP, 0.271, 0.205000, 0.094000
FP, 0.015, 0.750000, 0.056000
FP, 0.015, 0.077000, 0.000000
FP, 0.015, 0.074000, 0.045000
FP, 0.023, 0.138000, 0.069000
FP, 0.021, 0.150000, 0.065000
FP, 0.021, 0.500000, 0.000000
PASS, 0.004, 0.667000, 0.000000
FP, 0.013, 0.077000, 0.048000
FP, 0.014, 0.095000, 0.049000
FP, 0.019, 0.089000, 0.051000
FP, 0.019, 0.083000, 0.049000
FP, 0.019, 0.082000, 0.050000
FP, 0.019, 0.078000, 0.049000
FP, 0.019, 0.078000, 0.050000
FP, 0.011, 0.070000, 0.060000
FP, 0.007, 0.070000, 0.043000
FP, 0.042, 0.034000, 0.022000
FP, 0.044, 0.035000, 0.043000
FP, 0.045, 0.037000, 0.043000
FP, 0.045, 0.058000, 0.053000
FP, 0.051, 0.057000, 0.053000
FP, 0.019, 0.200000, 0.000000
FP, 0.019, 0.176000, 0.000000
FP, 0.013, 0.167000, 0.000000
FP, 0.013, 0.158000, 0.000000
FP, 0.0095, 0.167000, 0.000000
FP, 0.008, 0.158000, 0.000000
FP, 0.006, 0.158000, 0.000000
FP, 0.0035, 0.077000, 0.028000
FP, 0.139, 0.200000, 0.000000
FP, 0.309, 0.093000, 0.069000
FP, 0.014, 0.080000, 0.034000
FP, 0.0025, 0.148000, 0.000000
FP, 0.0025, 0.148000, 0.000000
FP, 0.0025, 0.154000, 0.000000
FP, 0.012, 0.095000, 0.000000
FP, 0.011, 0.100000, 0.000000
FP, 0.117, 0.038000, 0.051000
FP, 0.052, 0.040000, 0.078000
FP, 0.03, 0.038000, 0.018000
FP, 0.035, 0.064000, 0.065000
FP, 0.106, 0.071000, 0.133000
FP, 0.13, 0.083000, 0.056000
FP, 0.0055, 0.043000, 0.042000
FP, 0.0055, 0.044000, 0.042000
FP, 0.0055, 0.047000, 0.043000
FP, 0.0055, 0.049000, 0.043000
FP, 0.185, 0.054000, 0.000000
FP, 0.185, 0.048000, 0.000000
FP, 0.0075, 0.065000, 0.036000
FP, 0.011, 0.057000, 0.036000
FP, 0.0085, 0.057000, 0.034000
FP, 0.0085, 0.079000, 0.000000
FP, 0.019, 0.114000, 0.050000
FP, 0.022, 0.086000, 0.050000
FP, 0.022, 0.059000, 0.051000
PASS, 0.003699, 0.750000, 0.000000
FP, 0.086, 0.833000, 0.125000
FP, 0.037, 0.158000, 0.107000
FP, 0.103, 0.074000, 0.000000
FP, 0.104, 0.074000, 0.000000
FP, 0.106, 0.065000, 0.000000
FP, 0.106, 0.065000, 0.000000
FP, 0.101, 0.061000, 0.000000
FP, 0.108, 0.063000, 0.000000
FP, 0.011, 0.143000, 0.057000
FP, 0.011, 0.143000, 0.028000
FP, 0.002, 0.077000, 0.053000
FP, 0.002, 0.073000, 0.053000
FP, 0.0015, 0.073000, 0.053000
FP, 0.0015, 0.073000, 0.053000
FP, 0.002, 0.073000, 0.053000
FP, 0.002, 0.054000, 0.000000
FP, 0.002, 0.053000, 0.000000
FP, 0.0045, 0.133000, 0.026000
FP, 0.0045, 0.133000, 0.026000
FP, 0.0045, 0.133000, 0.026000
FP, 0.0045, 0.148000, 0.025000
FP, 0.0045, 0.138000, 0.025000
FP, 0.0045, 0.138000, 0.000000
FP, 0.0045, 0.138000, 0.000000
FP, 0.0045, 0.138000, 0.000000
FP, 0.0045, 0.094000, 0.000000
FP, 0.0045, 0.097000, 0.000000
FP, 0.0045, 0.097000, 0.000000
FP, 0.0045, 0.071000, 0.031000
FP, 0.0045, 0.071000, 0.031000
FP, 0.004, 0.097000, 0.032000
FP, 0.004, 0.097000, 0.032000
FP, 0.004, 0.074000, 0.000000
FP, 0.004, 0.074000, 0.000000
FP, 0.005, 0.059000, 0.022000
FP, 0.0065, 0.063000, 0.021000
FP, 0.0055, 0.091000, 0.000000
FP, 0.0085, 0.190000, 0.048000
FP, 0.007, 0.087000, 0.042000
FP, 0.07, 0.121000, 0.069000
PASS, 0.05, 0.111000, 0.036000
PASS, 0.05, 0.351000, 0.000000
FP, 0.003, 0.150000, 0.024000
FP, 0.0035, 0.150000, 0.049000
FP, 0.0035, 0.150000, 0.023000
FP, 0.0045, 0.150000, 0.023000
FP, 0.023, 0.111000, 0.050000
FP, 0.022, 0.111000, 0.049000
FP, 0.002, 0.154000, 0.036000
FP, 0.0025, 0.154000, 0.037000
FP, 0.002503, 0.154000, 0.037000
FP, 0.001, 0.070000, 0.023000
FP, 0.0015, 0.070000, 0.023000
FP, 0.0015, 0.073000, 0.024000
FP, 0.001, 0.073000, 0.024000
FP, 0.0015, 0.056000, 0.024000
FP, 0.0015, 0.048000, 0.043000
FP, 0.149, 0.077000, 0.074000
FP, 0.122, 0.075000, 0.038000
FP, 0.122, 0.095000, 0.000000
FP, 0.122, 0.050000, 0.000000
PASS, 0.0055, 0.132000, 0.017000
FP, 0.033, 0.057000, 0.059000
FP, 0.033, 0.056000, 0.057000
FP, 0.029, 0.054000, 0.057000
FP, 0.026, 0.056000, 0.056000
FP, 0.047, 0.152000, 0.081000
FP, 0.047, 0.246000, 0.129000
FP, 0.014, 0.667000, 0.360000
FP, 0.014, 0.133000, 0.114000
FP, 0.014, 0.118000, 0.000000
FP, 0.014, 0.111000, 0.000000
FP, 0.014, 0.105000, 0.000000
FP, 0.014, 0.105000, 0.000000
FP, 0.014, 0.040000, 0.033000
FP, 0.106, 0.040000, 0.033000
FP, 0.0055, 0.020000, 0.029000
FP, 0.059, 0.054000, 0.072000
FP, 0.229, 0.027000, 0.033000
FP, 0.229, 0.046000, 0.036000
FP, 0.229, 0.048000, 0.041000
FP, 0.229, 0.018000, 0.006826
FP, 0.005, 0.037000, 0.028000
FP, 0.028, 0.041000, 0.054000
FP, 0.0035, 0.023000, 0.006849
FP, 0.0035, 0.085000, 0.097000
FP, 0.031, 0.037000, 0.055000
FP, 0.154, 0.050000, 0.057000
FP, 0.002, 0.072000, 0.060000
FP, 0.009, 0.073000, 0.059000
FP, 0.018, 0.034000, 0.055000
FP, 0.02, 0.034000, 0.055000
FP, 0.002058, 0.103000, 0.032000
FP, 0.002058, 0.103000, 0.031000
FP, 0.002139, 0.096000, 0.030000
FP, 0.002139, 0.056000, 0.015000
FP, 0.002139, 0.041000, 0.000000
FP, 0.002139, 0.041000, 0.000000
FP, 0.002139, 0.174000, 0.111000
FP, 0.0035, 0.075000, 0.074000
FP, 0.0035, 0.039000, 0.046000
FP, 0.138, 0.282000, 0.080000
FP, 0.0025, 0.080000, 0.045000
FP, 0.0075, 0.101000, 0.061000
FP, 0.056, 0.054000, 0.048000
FP, 0.0015, 0.125000, 0.051000
FP, 0.003, 0.115000, 0.023000
FP, 0.124, 0.135000, 0.024000
FP, 0.286, 0.140000, 0.015000
FP, 0.025, 0.041000, 0.043000
FP, 0.025, 0.042000, 0.032000
FP, 0.293, 0.030000, 0.036000
PASS, 0.293, 0.038000, 0.012000
