Filter,SWAF,NAF,TAF
FP, 0.079, 0.167000, 0.035000
FP, 0.126, 0.273000, 0.050000
FP, 0.001, 0.027000, 0.048000
FP, 0.044, 0.250000, 0.094000
FP, 0.086, 1.000000, 0.042000
FP, 0.04, 0.222000, 0.038000
FP, 0.005139, 0.200000, 0.065000
FP, 0.03, 0.333000, 0.033000
FP, 0.014, 0.083000, 0.063000
FP, 0.134, 0.214000, 0.000000
FP, 0.006787, 0.103000, 0.000000
FP, 0.00309, 0.071000, 0.000000
FP, 0.00309, 0.046000, 0.004566
FP, 0.00309, 0.043000, 0.004525
FP, 0.00309, 0.088000, 0.023000
FP, 0.019, 0.141000, 0.027000
FP, 0.059, 0.167000, 0.081000
FP, 0.018, 0.127000, 0.047000
FP, 0.007, 0.053000, 0.000000
FP, 0.0095, 0.072000, 0.000000
FP, 0.141, 0.132000, 0.055000
FP, 0.141, 0.217000, 0.037000
FP, 0.006, 0.118000, 0.000000
FP, 0.0025, 0.054000, 0.000000
FP, 0.0025, 0.053000, 0.034000
FP, 0.0025, 0.030000, 0.050000
FP, 0.0025, 0.030000, 0.051000
FP, 0.011, 0.040000, 0.053000
FP, 0.013, 0.045000, 0.127000
FP, 0.013, 0.045000, 0.127000
FP, 0.206, 0.041000, 0.000000
FP, 0.346, 0.075000, 0.081000
FP, 0.346, 0.038000, 0.000000
FP, 0.346, 0.057000, 0.000000
FP, 0.346, 0.058000, 0.000000
FP, 0.346, 0.059000, 0.000000
FP, 0.346, 0.063000, 0.000000
FP, 0.346, 0.065000, 0.000000
FP, 0.346, 0.044000, 0.000000
FP, 0.346, 0.064000, 0.000000
FP, 0.346, 0.047000, 0.000000
FP, 0.346, 0.042000, 0.000000
FP, 0.346, 0.040000, 0.000000
FP, 0.001, 0.041000, 0.000000
FP, 0.0005, 0.038000, 0.021000
FP, 0.003, 0.036000, 0.042000
FP, 0.13, 0.045000, 0.143000
FP, 0.0055, 0.063000, 0.029000
FP, 0.0055, 0.063000, 0.030000
